,x,y,dx1966,dy1966,dx1980,dy1980,dx1990,dy1990,dx2000,dy2000,dx2010,dy2010,dx2020,dy2020
14044,125.2,38.85,0.007285112148991857,0.026332199324400563,-0.01917906705600103,0.028705640755497086,-0.037821945266003354,0.03975161948769568,-0.04098768546300846,0.04412909512259944,-0.04443738001199904,0.045304915432595294,-0.045650295271997265,0.04648694885919724
14045,125.25,38.85,0.007119351713001265,0.028198423525999772,-0.019728984458993182,0.031577237770200384,-0.03849075433400628,0.04344030392650211,-0.041565823965996174,0.04802113461939683,-0.04506594175900602,0.049354269965796504,-0.046280807276005476,0.050628205215495825
14046,125.3,38.85,0.0070031323320023375,0.03015687071570028,-0.02018815461399015,0.034587767459200336,-0.039039833857003714,0.047300702956199814,-0.04201823911799352,0.052063896387601005,-0.04554820835099349,0.05355545912159698,-0.04674897146900037,0.054923046976597334
14047,125.35,38.85,0.006975871324002014,0.032214394745800234,-0.020553692145995228,0.037740280761902056,-0.03945621366099772,0.05132668919999617,-0.04230548314799876,0.0562739156899994,-0.04585823536999101,0.05793202156679911,-0.04704139456998746,0.05939655562600166
14048,125.4,38.85,0.007015285593993781,0.03436509524949827,-0.02080428402500445,0.0410410688963978,-0.03971585437000158,0.055508558278098974,-0.04242574205601102,0.06064918553089882,-0.04599868654901229,0.06248968697779844,-0.04715267666401246,0.06406089359149547
14049,125.45,38.85,0.007141106030999822,0.03661470956129875,-0.02092759985299608,0.04448875306719913,-0.03979801052099674,0.059867532870597984,-0.04235897102199715,0.06520105981739732,-0.045939550181998356,0.06723248613379695,-0.047067411531003245,0.06890952151339746
14050,125.5,38.85,0.007368390311995654,0.038973598842396484,-0.020902072409000994,0.04808925549559717,-0.03970079552300376,0.06440306162699727,-0.042092065815992896,0.06993141935319613,-0.04567493720900018,0.07215736397569827,-0.04675970136999297,0.07394723171930195
14051,125.55,38.85,0.007691726837009583,0.041429213223096895,-0.020710141856994824,0.051824821882100025,-0.039396684972999196,0.06912560031269521,-0.04160656939899354,0.07483042102559523,-0.04516736103099106,0.07727365391969698,-0.04620327540000346,0.07918322281539503
14052,125.6,38.85,0.008139450072008003,0.04398686452550038,-0.02030983458499236,0.05571745844940068,-0.03886661139999603,0.07401909367829518,-0.0408611585349945,0.07993675024799529,-0.044397271176990216,0.08258642399550098,-0.045369875133999926,0.08461359979639838
14053,125.65,38.85,0.00873152666498811,0.0466572189667005,-0.01970239373601146,0.05974510135669675,-0.038067194300012375,0.07910648416039834,-0.039838288276001776,0.08520238037529992,-0.04333279217000552,0.0880735791067977,-0.04423942757401278,0.09021879969370161
14054,125.7,38.85,0.009474153440990563,0.04940883508459848,-0.018844521974003214,0.0639279823460015,-0.03696759978299724,0.08435842477779687,-0.038501042478998215,0.09062382682540004,-0.041960058596004046,0.09372195906849612,-0.04279193189499608,0.09598537297389953
14055,125.75,38.85,0.010402125064999268,0.052257715678898364,-0.017727381260996822,0.06825386684030121,-0.03554609002800646,0.0897838972602969,-0.036819836733997136,0.09621221596010088,-0.040224381743001913,0.09953927362860071,-0.04095895787500581,0.10190236684589848
14056,125.8,38.85,0.011541509308003128,0.05519544974060153,-0.016319142402991815,0.07271914714920058,-0.033765324293000276,0.09535859834189608,-0.03476188806699554,0.10190120385330204,-0.038090417711003965,0.10543676775049704,-0.038733320424995554,0.10790188875089513
14057,125.85,38.85,0.012899658866999175,0.05820592566979599,-0.014601256413996566,0.07730928970210016,-0.031574214386992594,0.10103691396300007,-0.03225765470499198,0.10766827328189521,-0.03552187658199557,0.11143842457079955,-0.03605507922799234,0.11402089570150054
14058,125.9,38.85,0.01452353792099359,0.06130223557279635,-0.012531277684004749,0.08200308830009817,-0.028937703307008178,0.10680555346989706,-0.029303126196012386,0.11354595073969875,-0.03247574550201193,0.1175532977748972,-0.03288244912300797,0.12024546518169643
14059,125.95,38.85,0.01640961129599816,0.06445136991759881,-0.01008823533899772,0.08678605547810037,-0.025848937367001668,0.11265976831069935,-0.025871903289996112,0.1194938582186964,-0.028919783269998334,0.1237506197475966,-0.02919096265300425,0.1265505957835984
14060,126.0,38.85,0.018590119036005603,0.06767406969790102,-0.0072466070059959975,0.09163415488959714,-0.022276609203004227,0.11858119428639924,-0.02194376357699923,0.125484850519598,-0.02484569074900378,0.1300164592632953,-0.02496277922000445,0.13292376681229712
14061,126.05,38.85,0.02108213330200215,0.07089643792709666,-0.0039445668409996415,0.09650071994609988,-0.018199852495996538,0.12451791458180139,-0.01750558710799055,0.13148067139739794,-0.02023713578999775,0.1362439043622956,-0.020191287061990693,0.13925852033339936
14062,126.1,38.85,0.02389982441999905,0.07415193133049769,-0.00016201731600062885,0.10135378592379851,-0.013575851870996303,0.13047225052219602,-0.012502291324992143,0.13743020063920142,-0.015054670873993814,0.14244768139009523,-0.014829092038993963,0.14555758904459992
14063,126.15,38.85,0.027066936543988618,0.07733805464570054,0.004128507239997248,0.10614086276110157,-0.008346654654005192,0.1363532615607994,-0.006861933416999477,0.14334622904929972,-0.009228353025008573,0.1485936212556993,-0.008818056502008176,0.15166863735250047
14064,126.2,38.85,0.03060840818000088,0.08048659675469594,0.00893668663499625,0.11084460187520051,-0.0024617026130044906,0.1421526642253994,-0.0005694597480072616,0.14903564216290022,-0.0027072432470021113,0.15447231556879615,-0.00210360801200693,0.15763803511450192
14065,126.25,38.85,0.034568971696998574,0.08351730751859776,0.014274906748994454,0.11538282718849757,0.004070242441997607,0.14768708751439874,0.006352111371001001,0.15444665536600155,0.004467394631006982,0.16015222461509637,0.005273108549999961,0.1633837786447998
14066,126.3,38.85,0.03896358173599879,0.0864216593566951,0.02019063535099974,0.11976411808609555,0.011221713408005485,0.1529877122314005,0.013898104578004222,0.15962281889819963,0.012287819741999328,0.1655607833714967,0.013312242710000532,0.16880818598919944
14067,126.35,38.85,0.04377704352700107,0.08912745024500168,0.02668642566401047,0.1238567545218956,0.019030823525000073,0.1579818442679013,0.022118111939008145,0.16446272924759597,0.020810573101002205,0.17057342944289644,0.022048717985001076,0.17385944258389685
14068,126.4,38.85,0.049037327007994236,0.09160447472930144,0.03377585386098758,0.12764550587219503,0.027549921125995525,0.1625382897155987,0.031040840576991968,0.16888404363599818,0.030055071951991863,0.17518129334730048,0.03151988104099246,0.17847712271100136
14069,126.45,38.85,0.05470725248000008,0.09375509061939624,0.04144531908499971,0.13103375343749946,0.03674410888299917,0.16670749504569926,0.04060901557899399,0.17276083812090093,0.03997631703799698,0.17930402956429958,0.041661576463994265,0.1825590351584978
14070,126.5,38.85,0.06079508109900189,0.09549816747579598,0.04965979810299359,0.13391792207200126,0.046553569508006376,0.17024367724219758,0.0507640963249969,0.17602739525310085,0.050517444985004545,0.18279302120559748,0.052424203678000936,0.18599766958870134
14071,126.55,38.85,0.06732646086899763,0.09692341186450193,0.05839919177900299,0.1362748854764959,0.05695817528400937,0.17314231910599887,0.06153412399299896,0.17865146384929886,0.061685133166008654,0.18554411199039578,0.06382769031999658,0.18869635663769913
14072,126.6,38.85,0.07426653560000318,0.09778651884170131,0.06766286568701219,0.13799083499660014,0.06796981150300496,0.1753799921749959,0.0728887137589993,0.18057042103639986,0.07346570945701103,0.18754584981449796,0.07582901999600722,0.19062598190090085
14073,126.65,38.85,0.08153156638400105,0.09807623863749626,0.07737518332798743,0.13899434067020167,0.07949600732399631,0.17676871771289626,0.08469518737599913,0.18162362617359662,0.08571171883198758,0.18870089134319556,0.08827272809199371,0.19163771730679713
14074,126.7,38.85,0.08911199794599156,0.09781300686739769,0.08745156832399914,0.13906874901000066,0.09143676500299591,0.17706938692359842,0.0969332764159958,0.18190425545009958,0.0984121211609903,0.18910216388749745,0.10117187976000253,0.19190127335259888
14075,126.75,38.85,0.09696236438399808,0.09685153288099713,0.09784791006499916,0.1385104254081,0.10378823754099642,0.17672538161910012,0.10954093222800054,0.18107671418179905,0.1114868938570055,0.188241276559296,0.11443328055399604,0.1908962149326996
14076,126.8,38.85,0.1050123883809988,0.09532206747380201,0.108520924874,0.1369244659966995,0.1163519465630003,0.1754434099333011,0.12234180121700433,0.1792402882814983,0.12473688688100992,0.18638126928699705,0.12786771471699865,0.18888772244419982
14077,126.85,38.85,0.11319545403300424,0.0930668141796005,0.119378678191012,0.13409361130789677,0.12904431769300118,0.17291957996589957,0.13526770988400472,0.17664871458309506,0.13813924766900243,0.1836081798210003,0.14142358288600576,0.1859088831053981
